grain,level,horizon_days,budget_multiplier,historical_mean_daily_spend,hypothetical_daily_spend,hypothetical_cumulative_spend,p10_revenue,p50_revenue,p90_revenue,p10_roas,p50_roas,p90_roas,log_saturation_revenue_est,power_law_revenue_est
Meta Ads,platform,30,2.0,221.41,442.81,13284.34,0.0,44550.61,47125.43,0.0,3.35,3.55,23369.39,21656.6
Meta Ads,platform,60,0.5,221.41,110.7,6642.17,1480.38,15986.59,17379.64,0.22,2.41,2.62,14252.05,16181.56
Meta Ads,platform,60,0.75,221.41,166.05,9963.26,1480.38,18819.43,18131.45,0.15,1.89,1.82,20585.0,21581.69
Meta Ads,platform,60,1.0,221.41,221.41,13284.34,1480.38,27761.3,31049.55,0.11,2.09,2.34,26486.08,26474.05
Meta Ads,platform,60,1.25,221.41,276.76,16605.43,1480.38,32352.93,35995.57,0.09,1.95,2.17,32010.46,31020.48
Meta Ads,platform,60,1.5,221.41,332.11,19926.51,1480.38,32352.93,36701.63,0.07,1.62,1.84,37203.34,35308.99
Meta Ads,platform,60,2.0,221.41,442.81,26568.68,1480.38,37315.32,46779.7,0.06,1.4,1.76,46738.78,43313.2
Meta Ads,platform,90,0.5,221.41,110.7,9963.26,19217.54,18365.33,28329.52,1.93,1.84,2.84,21378.07,24272.34
Meta Ads,platform,90,0.75,221.41,166.05,14944.88,20185.03,21110.66,28453.59,1.35,1.41,1.9,30877.5,32372.53
Meta Ads,platform,90,1.0,221.41,221.41,19926.51,29051.17,27373.66,38919.25,1.46,1.37,1.95,39729.12,39711.07
Meta Ads,platform,90,1.25,221.41,276.76,24908.14,29228.64,29792.35,44428.62,1.17,1.2,1.78,48015.68,46530.72
Meta Ads,platform,90,1.5,221.41,332.11,29889.77,29228.64,29798.55,45769.68,0.98,1.0,1.53,55805.01,52963.48
Meta Ads,platform,90,2.0,221.41,442.81,39853.02,29876.8,29798.55,47438.24,0.75,0.75,1.19,70108.17,64969.79
Organic/Direct,platform,30,0.5,0.0,0.0,0.0,322234.26,350864.95,418323.58,,,,,
Organic/Direct,platform,30,0.75,0.0,0.0,0.0,322234.26,350864.95,418323.58,,,,,
Organic/Direct,platform,30,1.0,0.0,0.0,0.0,322234.26,350864.95,418323.58,,,,,
Organic/Direct,platform,30,1.25,0.0,0.0,0.0,322234.26,350864.95,418323.58,,,,,
Organic/Direct,platform,30,1.5,0.0,0.0,0.0,322234.26,350864.95,418323.58,,,,,
Organic/Direct,platform,30,2.0,0.0,0.0,0.0,322234.26,350864.95,418323.58,,,,,
Organic/Direct,platform,60,0.5,0.0,0.0,0.0,213957.61,345152.57,395296.29,,,,,
Organic/Direct,platform,60,0.75,0.0,0.0,0.0,213957.61,345152.57,395296.29,,,,,
Organic/Direct,platform,60,1.0,0.0,0.0,0.0,213957.61,345152.57,395296.29,,,,,
Organic/Direct,platform,60,1.25,0.0,0.0,0.0,213957.61,345152.57,395296.29,,,,,
Organic/Direct,platform,60,1.5,0.0,0.0,0.0,213957.61,345152.57,395296.29,,,,,
Organic/Direct,platform,60,2.0,0.0,0.0,0.0,213957.61,345152.57,395296.29,,,,,
Organic/Direct,platform,90,0.5,0.0,0.0,0.0,219793.79,229111.67,255609.73,,,,,
Organic/Direct,platform,90,0.75,0.0,0.0,0.0,219793.79,229111.67,255609.73,,,,,
Organic/Direct,platform,90,1.0,0.0,0.0,0.0,219793.79,229111.67,255609.73,,,,,
Organic/Direct,platform,90,1.25,0.0,0.0,0.0,219793.79,229111.67,255609.73,,,,,
Organic/Direct,platform,90,1.5,0.0,0.0,0.0,219793.79,229111.67,255609.73,,,,,
Organic/Direct,platform,90,2.0,0.0,0.0,0.0,219793.79,229111.67,255609.73,,,,,
