grain,level,forecast_origin_date,horizon_days,actual_revenue,p10_revenue,p50_revenue,p90_revenue,actual_spend,actual_roas,p10_roas,p50_roas,p90_roas
Bing Ads,platform,2026-02-02,90,6984.43,3598.46,6496.73,8703.57,3638.12,1.92,0.99,1.79,2.39
Bing Ads,platform,2026-02-03,90,7104.45,3578.54,6296.31,8698.9,3629.21,1.96,0.99,1.73,2.4
Bing Ads,platform,2026-02-04,90,7156.91,4898.81,6381.23,8623.37,3624.13,1.97,1.35,1.76,2.38
Bing Ads,platform,2026-02-05,90,7201.99,4983.27,6294.47,8379.85,3617.13,1.99,1.38,1.74,2.32
Bing Ads,platform,2026-02-06,90,7373.45,5085.28,6389.01,8502.46,3646.07,2.02,1.39,1.75,2.33
Bing Ads,platform,2026-02-07,90,7556.17,5080.88,6369.19,8650.86,3617.01,2.09,1.4,1.76,2.39
Bing Ads,platform,2026-02-08,90,7730.95,5119.43,6202.03,8675.75,3616.65,2.14,1.42,1.71,2.4
Bing Ads,platform,2026-02-09,90,7676.02,4474.85,6040.28,2855.29,3595.15,2.14,1.24,1.68,0.79
Bing Ads,platform,2026-02-10,90,7728.54,4383.69,5997.74,5862.12,3587.81,2.15,1.22,1.67,1.63
Bing Ads,platform,2026-02-11,90,7840.39,4401.82,6005.34,3908.38,3541.84,2.21,1.24,1.7,1.1
Bing Ads,platform,2026-02-12,90,8069.77,4717.33,5423.81,9402.29,3482.49,2.32,1.35,1.56,2.7
Bing Ads,platform,2026-02-13,90,8077.6,4829.99,5601.86,9639.28,3434.87,2.35,1.41,1.63,2.81
Bing Ads,platform,2026-02-14,90,8102.59,4765.26,5616.01,9457.19,3365.64,2.41,1.42,1.67,2.81
Bing Ads,platform,2026-02-15,90,8245.26,3099.75,5468.02,9079.73,3334.13,2.47,0.93,1.64,2.72
Bing Ads,platform,2026-02-16,90,8306.24,3363.95,5551.25,3965.41,3307.3,2.51,1.02,1.68,1.2
Bing Ads,platform,2026-02-17,90,8736.54,3333.44,5728.43,3993.03,3268.73,2.67,1.02,1.75,1.22
Bing Ads,platform,2026-02-18,90,9168.1,3342.58,5223.86,4226.99,3256.64,2.82,1.03,1.6,1.3
Bing Ads,platform,2026-02-19,90,9186.73,3373.2,5179.64,8777.67,3203.4,2.87,1.05,1.62,2.74
Bing Ads,platform,2026-02-20,90,9103.68,3821.02,5308.67,10145.7,3184.2,2.86,1.2,1.67,3.19
Bing Ads,platform,2026-02-21,90,9114.76,4128.66,5392.12,9792.37,3147.61,2.9,1.31,1.71,3.11
Bing Ads,platform,2026-02-22,90,9376.36,3910.66,5362.11,9942.95,3112.17,3.01,1.26,1.72,3.19
Bing Ads,platform,2026-02-23,90,9641.22,1831.37,5285.65,9221.07,3100.93,3.11,0.59,1.7,2.97
Bing Ads,platform,2026-02-24,90,10079.13,2625.49,5499.28,9302.3,3106.06,3.24,0.85,1.77,2.99
Bing Ads,platform,2026-02-25,90,10149.47,2640.86,5454.04,9019.36,3110.22,3.26,0.85,1.75,2.9
Bing Ads,platform,2026-02-26,90,10213.4,3185.75,5465.8,8988.76,3101.13,3.29,1.03,1.76,2.9
Bing Ads,platform,2026-02-27,90,10469.56,4025.52,5476.03,9284.34,3105.46,3.37,1.3,1.76,2.99
Bing Ads,platform,2026-02-28,90,10411.92,3975.39,5506.88,9513.47,3093.08,3.37,1.29,1.78,3.08
Google Ads,platform,2026-02-01,30,349405.06,319243.67,373303.95,394510.8,207711.06,1.68,1.54,1.8,1.9
Google Ads,platform,2026-02-02,30,337923.69,321344.26,366730.14,393235.39,196893.08,1.72,1.63,1.86,2.0
Google Ads,platform,2026-02-03,30,321488.21,321297.02,374775.42,392355.83,188025.24,1.71,1.71,1.99,2.09
Google Ads,platform,2026-02-04,30,311400.32,320356.81,361464.77,363669.84,181490.39,1.72,1.77,1.99,2.0
Google Ads,platform,2026-02-05,30,300085.83,167098.18,355334.53,363001.42,174075.41,1.72,0.96,2.04,2.09
Google Ads,platform,2026-02-06,30,289506.59,318965.61,341751.48,352278.67,165813.74,1.75,1.92,2.06,2.12
Google Ads,platform,2026-02-07,30,282089.63,298422.12,342204.73,351893.28,154456.88,1.83,1.93,2.22,2.28
Google Ads,platform,2026-02-08,30,270518.19,168855.91,342023.58,332407.21,143509.56,1.89,1.18,2.38,2.32
Google Ads,platform,2026-02-09,30,254371.43,156289.78,330498.27,318681.59,133079.37,1.91,1.17,2.48,2.39
Google Ads,platform,2026-02-10,30,238108.89,152578.86,334153.89,320444.3,123946.54,1.92,1.23,2.7,2.59
Google Ads,platform,2026-02-11,30,225373.88,155977.44,273528.25,299807.18,116076.34,1.94,1.34,2.36,2.58
Google Ads,platform,2026-02-12,30,209361.3,128146.87,268693.39,288326.23,103010.09,2.03,1.24,2.61,2.8
Google Ads,platform,2026-02-13,30,195622.0,156474.15,272791.28,281356.39,86927.53,2.25,1.8,3.14,3.24
Google Ads,platform,2026-02-14,30,185915.92,153106.59,275636.07,269997.88,74549.71,2.49,2.05,3.7,3.62
Google Ads,platform,2026-02-15,30,172832.04,118027.55,275055.02,258552.73,62653.75,2.76,1.88,4.39,4.13
Google Ads,platform,2026-02-16,30,162641.62,114869.13,280067.27,262965.03,49739.07,3.27,2.31,5.63,5.29
Google Ads,platform,2026-02-17,30,144043.73,105632.77,184743.33,259052.28,38066.7,3.78,2.77,4.85,6.81
Google Ads,platform,2026-02-18,30,139154.99,102690.16,177730.23,249768.49,36477.66,3.81,2.82,4.87,6.85
Google Ads,platform,2026-02-19,30,135391.37,98054.22,178498.06,250252.17,35467.81,3.82,2.76,5.03,7.06
Google Ads,platform,2026-02-20,30,131062.61,99450.47,177360.0,244161.22,34553.41,3.79,2.88,5.13,7.07
Google Ads,platform,2026-02-21,30,124990.33,91290.84,180764.92,242364.58,33329.83,3.75,2.74,5.42,7.27
Google Ads,platform,2026-02-22,30,117587.68,88660.13,212743.31,243832.89,32359.98,3.63,2.74,6.57,7.54
Google Ads,platform,2026-02-23,30,111942.86,99888.87,174892.88,246225.24,31432.76,3.56,3.18,5.56,7.83
Google Ads,platform,2026-02-24,30,107862.2,101716.87,166991.86,250411.77,30522.82,3.53,3.33,5.47,8.2
Google Ads,platform,2026-02-25,30,104172.97,90048.14,168405.13,246086.27,30232.33,3.45,2.98,5.57,8.14
Google Ads,platform,2026-02-26,30,102223.85,98639.19,202458.66,249854.47,29962.94,3.41,3.29,6.76,8.34
Google Ads,platform,2026-02-27,30,99890.74,99746.25,169500.19,247348.4,29781.46,3.35,3.35,5.69,8.31
Google Ads,platform,2026-02-28,30,97568.93,91883.52,224411.75,247720.3,29602.68,3.3,3.1,7.58,8.37
Google Ads,platform,2026-02-01,60,495903.82,372179.21,444194.02,466650.14,333980.06,1.48,1.11,1.33,1.4
Google Ads,platform,2026-02-02,60,509292.6,372061.52,444722.81,463891.37,344051.53,1.48,1.08,1.29,1.35
Google Ads,platform,2026-02-03,60,525711.92,366116.98,450838.76,457189.45,353261.02,1.49,1.04,1.28,1.29
Google Ads,platform,2026-02-04,60,536638.06,371162.56,442392.24,454091.46,359386.84,1.49,1.03,1.23,1.26
Google Ads,platform,2026-02-05,60,547325.64,335551.59,438463.22,455357.22,366324.19,1.49,0.92,1.2,1.24
Google Ads,platform,2026-02-06,60,559063.69,362518.26,442161.58,448385.67,374652.45,1.49,0.97,1.18,1.2
Google Ads,platform,2026-02-07,60,569011.3,315593.77,441209.93,454111.1,385514.05,1.48,0.82,1.14,1.18
Google Ads,platform,2026-02-08,60,580074.81,389408.93,437375.98,463621.6,396037.25,1.46,0.98,1.1,1.17
Google Ads,platform,2026-02-09,60,597594.97,401775.78,439179.97,468179.47,405995.3,1.47,0.99,1.08,1.15
Google Ads,platform,2026-02-10,60,613654.12,367902.14,442979.86,472641.7,415286.1,1.48,0.89,1.07,1.14
Google Ads,platform,2026-02-11,60,626830.78,369490.76,444386.86,475603.57,422605.48,1.48,0.87,1.05,1.13
Google Ads,platform,2026-02-12,60,642425.63,368143.97,450744.64,478299.15,435320.14,1.48,0.85,1.04,1.1
Google Ads,platform,2026-02-13,60,656315.4,374837.04,464447.02,481118.79,451252.17,1.45,0.83,1.03,1.07
Google Ads,platform,2026-02-14,60,667694.81,372853.71,491714.81,499387.37,463839.3,1.44,0.8,1.06,1.08
Google Ads,platform,2026-02-15,60,682220.38,370127.03,492739.02,499574.02,475985.33,1.43,0.78,1.04,1.05
Google Ads,platform,2026-02-16,60,694494.85,377524.0,480244.68,507627.87,489630.55,1.42,0.77,0.98,1.04
Google Ads,platform,2026-02-17,60,712687.38,371837.19,489777.9,517325.65,501327.32,1.42,0.74,0.98,1.03
Google Ads,platform,2026-02-18,60,714724.95,377316.32,489752.77,515008.36,501897.91,1.42,0.75,0.98,1.03
Google Ads,platform,2026-02-19,60,717589.04,371660.32,490461.98,513937.65,501915.28,1.43,0.74,0.98,1.02
Google Ads,platform,2026-02-20,60,719514.72,371840.95,488267.28,513851.63,501757.66,1.43,0.74,0.97,1.02
Google Ads,platform,2026-02-21,60,720791.14,372588.6,492933.1,515994.61,501510.62,1.44,0.74,0.98,1.03
Google Ads,platform,2026-02-22,60,723730.75,389715.44,492698.05,516005.7,501112.17,1.44,0.78,0.98,1.03
Google Ads,platform,2026-02-23,60,726175.5,369085.76,495108.83,520201.2,500780.33,1.45,0.74,0.99,1.04
Google Ads,platform,2026-02-24,60,726804.04,360201.15,476218.31,509214.8,500400.55,1.45,0.72,0.95,1.02
Google Ads,platform,2026-02-25,60,727046.53,384906.38,480777.37,510424.9,499423.17,1.46,0.77,0.96,1.02
Google Ads,platform,2026-02-26,60,726112.5,360054.36,476792.08,510683.33,498359.64,1.46,0.72,0.96,1.02
Google Ads,platform,2026-02-27,60,723405.38,360357.19,478339.19,509969.21,497009.71,1.46,0.73,0.96,1.03
Google Ads,platform,2026-02-28,60,720741.37,361058.72,458924.49,510544.84,495608.62,1.45,0.73,0.93,1.03
Google Ads,platform,2026-02-01,90,282513.07,241052.59,259372.71,278419.35,114863.53,2.46,2.1,2.26,2.42
Google Ads,platform,2026-02-02,90,287501.73,239697.06,255205.91,280658.81,115574.03,2.49,2.07,2.21,2.43
Google Ads,platform,2026-02-03,90,293272.18,237196.92,248465.41,280446.56,115942.38,2.53,2.05,2.14,2.42
Google Ads,platform,2026-02-04,90,297858.29,238905.56,245188.07,279037.49,116040.36,2.57,2.06,2.11,2.4
Google Ads,platform,2026-02-05,90,302135.23,233129.87,243518.31,254624.34,115975.17,2.61,2.01,2.1,2.2
Google Ads,platform,2026-02-06,90,306418.78,239694.26,242064.62,279076.45,115938.61,2.64,2.07,2.09,2.41
Google Ads,platform,2026-02-07,90,312402.61,230247.19,240327.3,273138.19,115777.72,2.7,1.99,2.08,2.36
Google Ads,platform,2026-02-08,90,316051.41,233615.59,239802.5,254888.55,115929.88,2.73,2.02,2.07,2.2
Google Ads,platform,2026-02-09,90,320999.97,234144.1,238867.93,250196.24,116820.52,2.75,2.0,2.04,2.14
Google Ads,platform,2026-02-10,90,324844.99,220776.51,232653.36,255038.04,117516.17,2.76,1.88,1.98,2.17
Google Ads,platform,2026-02-11,90,329403.11,220185.74,235835.8,253099.7,117991.34,2.79,1.87,2.0,2.15
Google Ads,platform,2026-02-12,90,336143.83,218966.05,235438.53,245863.88,119217.48,2.82,1.84,1.97,2.06
Google Ads,platform,2026-02-13,90,346515.51,221605.23,236017.0,252373.81,122850.32,2.82,1.8,1.92,2.05
Google Ads,platform,2026-02-14,90,354730.61,223227.51,240343.35,253172.99,127246.11,2.79,1.75,1.89,1.99
Google Ads,platform,2026-02-15,90,363464.73,224803.15,240420.67,249257.65,131375.56,2.77,1.71,1.83,1.9
Google Ads,platform,2026-02-16,90,367476.08,230665.87,241468.24,295176.4,135022.04,2.72,1.71,1.79,2.19
Google Ads,platform,2026-02-17,90,371515.31,221823.12,241697.15,294731.55,138346.02,2.69,1.6,1.75,2.13
Google Ads,platform,2026-02-18,90,373749.91,233912.48,241480.1,294568.14,141724.05,2.64,1.65,1.7,2.08
Google Ads,platform,2026-02-19,90,378339.4,241014.9,241385.74,295346.78,146945.54,2.57,1.64,1.64,2.01
Google Ads,platform,2026-02-20,90,384555.68,242991.64,241832.03,299432.44,149725.34,2.57,1.62,1.62,2.0
Google Ads,platform,2026-02-21,90,390931.37,247357.43,241155.74,299698.05,154182.13,2.54,1.6,1.56,1.94
Google Ads,platform,2026-02-22,90,398938.78,248698.45,241582.35,296276.41,159564.79,2.5,1.56,1.51,1.86
Google Ads,platform,2026-02-23,90,412240.36,256790.08,241323.09,299644.11,169499.43,2.43,1.51,1.42,1.77
Google Ads,platform,2026-02-24,90,441256.86,270859.54,275479.21,342804.96,200543.62,2.2,1.35,1.37,1.71
Google Ads,platform,2026-02-25,90,470745.68,313705.44,279905.26,353120.97,230825.98,2.04,1.36,1.21,1.53
Google Ads,platform,2026-02-26,90,495486.13,331568.64,307423.61,366603.71,271239.59,1.83,1.22,1.13,1.35
Google Ads,platform,2026-02-27,90,533367.91,438668.96,421252.56,475959.61,331029.22,1.61,1.33,1.27,1.44
Google Ads,platform,2026-02-28,90,545828.4,438853.61,421229.84,475730.84,345516.96,1.58,1.27,1.22,1.38
Meta Ads,platform,2026-02-01,30,51533.06,0.0,54454.72,60496.27,30013.08,1.72,0.0,1.81,2.02
Meta Ads,platform,2026-02-02,30,49566.48,0.0,54566.98,60482.03,28575.77,1.73,0.0,1.91,2.12
Meta Ads,platform,2026-02-03,30,49311.55,0.0,53852.67,60641.07,27132.74,1.82,0.0,1.98,2.23
Meta Ads,platform,2026-02-04,30,47986.35,0.0,52214.01,57631.45,25759.87,1.86,0.0,2.03,2.24
Meta Ads,platform,2026-02-05,30,45045.66,0.0,50385.28,57701.53,24234.89,1.86,0.0,2.08,2.38
Meta Ads,platform,2026-02-06,30,42173.75,0.0,54087.73,57435.84,22847.84,1.85,0.0,2.37,2.51
Meta Ads,platform,2026-02-07,30,39859.42,0.0,49513.22,54018.74,21723.65,1.83,0.0,2.28,2.49
Meta Ads,platform,2026-02-08,30,37972.82,0.0,47414.87,53317.45,20717.7,1.83,0.0,2.29,2.57
Meta Ads,platform,2026-02-09,30,36156.3,0.0,43939.02,53452.54,19385.47,1.87,0.0,2.27,2.76
Meta Ads,platform,2026-02-10,30,34498.26,0.0,45130.27,52828.27,18052.95,1.91,0.0,2.5,2.93
Meta Ads,platform,2026-02-11,30,32618.34,0.0,45180.45,48565.2,16655.51,1.96,0.0,2.71,2.92
Meta Ads,platform,2026-02-12,30,30688.21,0.0,44929.87,47431.39,14980.73,2.05,0.0,3.0,3.17
Meta Ads,platform,2026-02-13,30,26538.51,0.0,44932.57,46350.37,12962.94,2.05,0.0,3.47,3.58
Meta Ads,platform,2026-02-14,30,24822.23,0.0,43805.54,46387.69,11420.87,2.17,0.0,3.84,4.06
Meta Ads,platform,2026-02-15,30,21793.09,0.0,39354.94,46347.97,9801.7,2.22,0.0,4.02,4.73
Meta Ads,platform,2026-02-16,30,19706.97,0.0,35822.65,46842.26,8419.79,2.34,0.0,4.25,5.56
Meta Ads,platform,2026-02-17,30,15968.14,0.0,30486.46,46104.95,6630.52,2.41,0.0,4.6,6.95
Meta Ads,platform,2026-02-18,30,12926.01,0.0,23218.85,43556.99,4762.67,2.71,0.0,4.88,9.15
Meta Ads,platform,2026-02-19,30,12098.75,0.0,23112.91,43989.82,4394.0,2.75,0.0,5.26,10.01
Meta Ads,platform,2026-02-20,30,11432.0,0.0,22919.3,43869.44,4134.02,2.77,0.0,5.54,10.61
Meta Ads,platform,2026-02-21,30,10294.03,0.0,22983.12,43933.86,3889.3,2.65,0.0,5.91,11.3
Meta Ads,platform,2026-02-22,30,9728.36,0.0,22644.59,44128.71,3756.19,2.59,0.0,6.03,11.75
Meta Ads,platform,2026-02-23,30,9243.26,0.0,24639.48,44055.77,3599.93,2.57,0.0,6.84,12.24
Meta Ads,platform,2026-02-24,30,8919.03,0.0,25402.0,44172.73,3405.56,2.62,0.0,7.46,12.97
Meta Ads,platform,2026-02-25,30,8919.03,0.0,25553.74,44279.4,3405.84,2.62,0.0,7.5,13.0
Meta Ads,platform,2026-02-26,30,8971.41,0.0,25528.2,44085.45,3411.4,2.63,0.0,7.48,12.92
Meta Ads,platform,2026-02-27,30,8665.01,0.0,25574.02,43962.42,3415.19,2.54,0.0,7.49,12.87
Meta Ads,platform,2026-02-28,30,8656.61,0.0,26952.65,44733.41,3417.19,2.53,0.0,7.89,13.09
Meta Ads,platform,2026-02-01,60,49901.41,1480.38,36131.65,45778.5,31520.13,1.58,0.05,1.15,1.45
Meta Ads,platform,2026-02-02,60,51576.05,1480.38,36093.19,45403.15,32870.39,1.57,0.05,1.1,1.38
Meta Ads,platform,2026-02-03,60,52834.62,1480.38,35998.7,45330.28,34372.62,1.54,0.04,1.05,1.32
Meta Ads,platform,2026-02-04,60,54531.86,1480.38,35242.49,45029.37,35829.17,1.52,0.04,0.98,1.26
Meta Ads,platform,2026-02-05,60,57441.8,1480.38,35246.23,45048.09,37417.6,1.54,0.04,0.94,1.2
Meta Ads,platform,2026-02-06,60,60197.64,1480.38,35246.23,44326.24,38890.93,1.55,0.04,0.91,1.14
Meta Ads,platform,2026-02-07,60,63019.09,1480.38,36351.94,44648.45,40081.11,1.57,0.04,0.91,1.11
Meta Ads,platform,2026-02-08,60,65273.86,1480.38,36351.94,44507.93,41176.75,1.59,0.04,0.88,1.08
Meta Ads,platform,2026-02-09,60,67335.49,832.37,35958.12,45494.85,42603.72,1.58,0.02,0.84,1.07
Meta Ads,platform,2026-02-10,60,69140.61,0.0,36418.92,45847.01,44040.85,1.57,0.0,0.83,1.04
Meta Ads,platform,2026-02-11,60,71017.27,0.0,36511.0,46051.22,45511.57,1.56,0.0,0.8,1.01
Meta Ads,platform,2026-02-12,60,73288.18,0.0,37991.41,46764.89,47284.03,1.55,0.0,0.8,0.99
Meta Ads,platform,2026-02-13,60,77594.54,0.0,39095.06,47402.67,49370.2,1.57,0.0,0.79,0.96
Meta Ads,platform,2026-02-14,60,79779.08,798.78,40866.4,49269.04,50968.56,1.57,0.02,0.8,0.97
Meta Ads,platform,2026-02-15,60,83351.8,798.78,41881.57,49005.82,52673.92,1.58,0.02,0.8,0.93
Meta Ads,platform,2026-02-16,60,85832.46,798.78,44427.96,50991.51,54141.54,1.59,0.01,0.82,0.94
Meta Ads,platform,2026-02-17,60,89942.45,798.78,44425.08,50663.21,56022.25,1.61,0.01,0.79,0.9
Meta Ads,platform,2026-02-18,60,92612.48,0.0,47861.32,51559.34,57833.77,1.6,0.0,0.83,0.89
Meta Ads,platform,2026-02-19,60,93255.39,0.0,47823.05,51487.51,58133.94,1.6,0.0,0.82,0.89
Meta Ads,platform,2026-02-20,60,93787.08,0.0,47823.05,51538.9,58341.93,1.61,0.0,0.82,0.88
Meta Ads,platform,2026-02-21,60,94999.41,0.0,48025.94,51641.29,58534.39,1.62,0.0,0.82,0.88
Meta Ads,platform,2026-02-22,60,95233.71,0.0,48050.39,51593.38,58636.78,1.62,0.0,0.82,0.88
Meta Ads,platform,2026-02-23,60,95478.86,0.0,48138.98,51620.15,58716.11,1.63,0.0,0.82,0.88
Meta Ads,platform,2026-02-24,60,95499.09,0.0,48061.61,51182.2,58815.4,1.62,0.0,0.82,0.87
Meta Ads,platform,2026-02-25,60,95213.07,0.0,48251.24,51323.25,58718.98,1.62,0.0,0.82,0.87
Meta Ads,platform,2026-02-26,60,95041.93,0.0,48179.46,50485.4,58624.66,1.62,0.0,0.82,0.86
Meta Ads,platform,2026-02-27,60,95005.42,0.0,48337.32,50286.84,58538.93,1.62,0.0,0.83,0.86
Meta Ads,platform,2026-02-28,60,94562.94,0.0,48397.48,50286.83,58414.28,1.62,0.0,0.83,0.86
Meta Ads,platform,2026-02-01,90,18833.51,17109.65,17899.61,20589.84,8637.68,2.18,1.98,2.07,2.38
Meta Ads,platform,2026-02-02,90,19615.46,17186.29,17965.7,20663.14,8816.33,2.22,1.95,2.04,2.34
Meta Ads,platform,2026-02-03,90,20234.29,16935.42,17975.18,21194.37,9021.5,2.24,1.88,1.99,2.35
Meta Ads,platform,2026-02-04,90,20964.6,15946.51,17392.76,21066.37,9159.29,2.29,1.74,1.9,2.3
Meta Ads,platform,2026-02-05,90,22218.14,15794.46,17495.4,21066.97,9355.0,2.38,1.69,1.87,2.25
Meta Ads,platform,2026-02-06,90,23077.22,18017.65,17390.74,28747.14,9914.49,2.33,1.82,1.75,2.9
Meta Ads,platform,2026-02-07,90,24197.95,18449.26,17606.17,25306.65,10473.64,2.31,1.76,1.68,2.42
Meta Ads,platform,2026-02-08,90,25315.46,18425.16,17392.21,29215.87,11043.6,2.29,1.67,1.57,2.65
Meta Ads,platform,2026-02-09,90,26304.37,18208.17,16984.58,28244.5,11631.16,2.26,1.57,1.46,2.43
